CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,P21,PP04D_COD,P47T,REGION,AGLOMERADO,TRIMESTRE,ANO4
Varón,79.0,Viudo,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,Jubilado/pensionado,368.0,0.0,     ,368.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,67.0,Separado o divorciado,No paga ni le descuentan,Primaria Completa,Ocupado,0.0,0.0,0.0,82123,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,74.0,Viudo,Obra social (incluye PAMI),Primaria Completa,Inactivo,Jubilado/pensionado,440.0,0.0,     ,440.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,54.0,Casado,Mutual/Prepaga/Servicio de emergencia,Primaria Completa,Ocupado,0.0,532.5,2000.0,30113,2000.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,51.0,Casado,Mutual/Prepaga/Servicio de emergencia,Superior Universitaria Completa,Inactivo,Ama de casa,532.5,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,25.0,Soltero,Mutual/Prepaga/Servicio de emergencia,Superior Universitaria Incompleta,Ocupado,0.0,532.5,30.0,40111,30.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,20.0,Soltero,Mutual/Prepaga/Servicio de emergencia,Superior Universitaria Incompleta,Ocupado,0.0,532.5,100.0,41112,100.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,55.0,Unido,No paga ni le descuentan,Secundaria Completa,Ocupado,0.0,208.0,800.0,30113,800.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,48.0,Unido,No paga ni le descuentan,Secundaria Completa,Desocupado,0.0,208.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,17.0,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,Estudiante,208.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,15.0,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,Estudiante,208.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,77.0,Viudo,Obra social (incluye PAMI),Primaria Completa,Ocupado,0.0,208.0,0.0,35323,240.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,50.0,Casado,Obra social y mutual/prepaga/servicio de emergencia,Superior Universitaria Completa,Ocupado,0.0,150.0,750.0,49312,750.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,49.0,Casado,Obra social y mutual/prepaga/servicio de emergencia,Superior Universitaria Completa,Ocupado,0.0,150.0,0.0,05002,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,26.0,Soltero,Obra social y mutual/prepaga/servicio de emergencia,Superior Universitaria Completa,Desocupado,0.0,150.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,22.0,Soltero,Obra social y mutual/prepaga/servicio de emergencia,Superior Universitaria Incompleta,Inactivo,Estudiante,150.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,18.0,Soltero,Obra social y mutual/prepaga/servicio de emergencia,Secundaria Incompleta,Inactivo,Estudiante,150.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,86.0,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,Jubilado/pensionado,735.0,0.0,     ,690.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,62.0,Separado o divorciado,Obra social y mutual/prepaga/servicio de emergencia,Secundaria Incompleta,Ocupado,0.0,735.0,780.0,40314,780.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,76.0,Casado,Obra social (incluye PAMI),Superior Universitaria Completa,Desocupado,0.0,1035.0,0.0,     ,1850.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,77.0,Casado,Obra social (incluye PAMI),Secundaria Completa,Inactivo,Jubilado/pensionado,1035.0,0.0,     ,220.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,45.0,Unido,Obra social y mutual/prepaga/servicio de emergencia,Superior Universitaria Completa,Ocupado,0.0,1438.75,4000.0,10313,5500.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,41.0,Unido,Mutual/Prepaga/Servicio de emergencia,Superior Universitaria Incompleta,Ocupado,0.0,1438.75,100.0,81131,100.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,21.0,Soltero,Obra social y mutual/prepaga/servicio de emergencia,Superior Universitaria Incompleta,Ocupado,0.0,1438.75,100.0,80113,100.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,18.0,Soltero,Obra social y mutual/prepaga/servicio de emergencia,Secundaria Completa,Desocupado,0.0,1438.75,0.0,     ,55.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
